Epoch,train_loss,train_acc,test_loss,test_acc,F1_Score
1,1.0476,0.4901,1.0181,0.5396,0.4646
2,0.9161,0.7807,0.8368,0.8396,0.8306
3,0.7895,0.8843,0.6598,0.9167,0.9126
4,0.6659,0.9205,0.5247,0.9500,0.9479
5,0.5633,0.9391,0.4371,0.9625,0.9608
6,0.4928,0.9474,0.3897,0.9688,0.9673
7,0.4368,0.9567,0.3690,0.9771,0.9760
8,0.4089,0.9649,0.3569,0.9771,0.9760
9,0.3896,0.9677,0.3489,0.9812,0.9804
10,0.3777,0.9693,0.3427,0.9812,0.9804
11,0.3714,0.9742,0.3384,0.9833,0.9826
12,0.3546,0.9879,0.3363,0.9854,0.9847
13,0.3428,0.9879,0.3326,0.9875,0.9869
14,0.3620,0.9742,0.3300,0.9854,0.9848
15,0.3376,0.9863,0.3270,0.9854,0.9848
16,0.3513,0.9704,0.3253,0.9875,0.9869
17,0.3464,0.9825,0.3246,0.9875,0.9869
18,0.3328,0.9901,0.3232,0.9875,0.9869
19,0.3267,0.9951,0.3219,0.9917,0.9913
20,0.3362,0.9879,0.3216,0.9896,0.9891
21,0.3478,0.9819,0.3210,0.9896,0.9891
22,0.3260,0.9929,0.3209,0.9875,0.9869
23,0.3541,0.9688,0.3208,0.9875,0.9869
24,0.3408,0.9764,0.3197,0.9875,0.9869
25,0.3298,0.9929,0.3192,0.9875,0.9869
26,0.3283,0.9907,0.3189,0.9896,0.9891
27,0.3265,0.9923,0.3181,0.9875,0.9869
28,0.3403,0.9841,0.3174,0.9875,0.9869
29,0.3203,0.9956,0.3167,0.9875,0.9869
30,0.3377,0.9846,0.3162,0.9875,0.9869
31,0.3241,0.9929,0.3158,0.9875,0.9869
32,0.3188,0.9962,0.3155,0.9875,0.9869
33,0.3367,0.9836,0.3153,0.9875,0.9869
34,0.3330,0.9868,0.3144,0.9875,0.9869
35,0.3340,0.9874,0.3137,0.9875,0.9869
36,0.3186,0.9945,0.3142,0.9917,0.9913
37,0.3176,0.9945,0.3137,0.9875,0.9869
38,0.3322,0.9874,0.3130,0.9875,0.9869
39,0.3225,0.9956,0.3124,0.9875,0.9869
40,0.3336,0.9863,0.3125,0.9917,0.9913
41,0.3187,0.9951,0.3127,0.9896,0.9891
42,0.3171,0.9951,0.3123,0.9917,0.9913
43,0.3157,0.9951,0.3120,0.9917,0.9913
44,0.3167,0.9956,0.3124,0.9917,0.9913
45,0.3354,0.9753,0.3124,0.9875,0.9869
46,0.3190,0.9945,0.3120,0.9896,0.9891
47,0.3257,0.9775,0.3120,0.9875,0.9869
48,0.3261,0.9868,0.3111,0.9896,0.9891
49,0.3163,0.9956,0.3104,0.9917,0.9913
50,0.3291,0.9885,0.3100,0.9917,0.9913
