,train_loss,train_acc,test_loss,test_acc,f1_score,correct,incorrect
0,1.0052732250146699,0.49396929824561403,0.9950740416844686,0.5083333333333333,0.3926971428477885,213,236
1,0.890769526623843,0.6573464912280702,0.7839956800142924,0.7833333333333333,0.7726433093562933,345,104
2,0.7033769111884268,0.7889254385964912,0.5775773048400878,0.84375,0.8357835581770546,374,75
3,0.5933738617520583,0.8388157894736842,0.7155516485373179,0.76875,0.718430252718418,338,111
4,0.5230254635476229,0.8865131578947368,0.5416645705699921,0.8895833333333333,0.8839869131857263,396,53
5,0.5055013147362492,0.8952850877192983,0.7055940846602122,0.7854166666666667,0.7562518133342658,346,103
6,0.4997526788920687,0.8859649122807017,0.5119728048642477,0.8875,0.8813282746732009,395,54
7,0.44572443031428155,0.9298245614035088,0.5613207578659057,0.8958333333333334,0.8902281860268607,399,50
8,0.4430174257671624,0.9314692982456141,0.49675739208857217,0.9104166666666667,0.904310216256525,406,43
9,0.4374502912948006,0.9325657894736842,0.6010906795660654,0.8708333333333333,0.863702190728675,387,62
10,0.43195259937068875,0.9413377192982456,0.5964047094186147,0.8708333333333333,0.8659690065350443,387,62
11,0.40116719613995466,0.9610745614035088,0.48070576389630637,0.9166666666666666,0.9111179451656694,409,40
12,0.3976633120001408,0.9632675438596491,0.7865075687567393,0.8416666666666667,0.8333595818998699,373,76
13,0.417366577867876,0.9528508771929824,0.47846375902493793,0.9229166666666667,0.9175609126685448,412,37
14,0.395374666180527,0.9654605263157895,0.4952599823474884,0.9270833333333334,0.9226581726693279,414,35
15,0.3769862923705787,0.9780701754385965,0.49425195455551146,0.925,0.9206196695254025,413,36
16,0.3832245035129681,0.9692982456140351,0.4790399392445882,0.91875,0.9141789641228638,410,39
17,0.3912945964880157,0.9698464912280702,0.9541754921277364,0.7833333333333333,0.7414770254440594,345,104
18,0.37062164722827445,0.9791666666666666,0.4976868391036987,0.9145833333333333,0.9099111498524262,408,41
19,0.36044027094255415,0.981359649122807,0.4685303191343943,0.9145833333333333,0.9102386890508066,408,41
20,0.3685376983985566,0.9758771929824561,0.46897135575612386,0.9166666666666666,0.9124757998523042,409,40
21,0.3701658656722621,0.9808114035087719,0.4995601197083791,0.9083333333333333,0.9035268557248104,405,44
22,0.3604962789175803,0.9786184210526315,0.6482494572798411,0.8333333333333334,0.8059568346667788,369,80
23,0.3523085870240864,0.9802631578947368,0.6177850604057312,0.8520833333333333,0.8306461510970368,378,71
24,0.365550815013417,0.9643640350877193,0.5434735000133515,0.8729166666666667,0.8590997799746821,388,61
25,0.35514910545265466,0.9797149122807017,0.4225647946198781,0.9416666666666667,0.938267270853555,421,28
26,0.34974565788319234,0.9851973684210527,0.5386874695618947,0.9104166666666667,0.9060728269376438,406,43
27,0.3399940174922608,0.9928728070175439,0.5346150358517965,0.9083333333333333,0.9040334475494133,405,44
28,0.35854340749874447,0.9703947368421053,0.4909810225168864,0.90625,0.9016994790389607,404,45
29,0.3428268913637128,0.9868421052631579,0.45326956113179523,0.925,0.919996420261321,413,36
30,0.34231007569714594,0.9884868421052632,0.5677780290444692,0.9,0.8945353204895189,401,48
31,0.34101939776487517,0.9895833333333334,0.4423437217871348,0.9270833333333334,0.9221399962830086,414,35
32,0.3537399538776331,0.9786184210526315,0.8033266564210256,0.7979166666666667,0.7686716626518101,352,97
33,0.3589876435304943,0.9786184210526315,0.47423922220865883,0.9208333333333333,0.9170405873343145,411,38
34,0.3447336455186208,0.9731359649122807,0.5288209855556488,0.9020833333333333,0.8978327018340776,402,47
35,0.3424905653585467,0.9742324561403509,0.4532713194688161,0.9208333333333333,0.9154814879446239,411,38
36,0.3424069850068343,0.9841008771929824,0.45200971961021424,0.9083333333333333,0.9037564344276058,405,44
37,0.33454329873386185,0.9835526315789473,0.48837544520696,0.8958333333333334,0.886585584844109,399,50
38,0.3267058453016114,0.9879385964912281,0.4583344221115112,0.91875,0.9147027290448343,410,39
39,0.32577889059719284,0.9923245614035088,0.4545929710070292,0.9291666666666667,0.9256144741236607,415,34
40,0.3267106816434024,0.9912280701754386,0.43077139457066854,0.9291666666666667,0.9255964707731916,415,34
41,0.32537512664209334,0.9945175438596491,0.42186408042907714,0.93125,0.9271804328768151,416,33
42,0.325383300321144,0.9956140350877193,0.4353577276070913,0.925,0.9202437731849497,413,36
43,0.3329108984846818,0.9808114035087719,0.4409016410509745,0.925,0.9194760711302065,413,36
44,0.3299564144067597,0.9868421052631579,0.4205115735530853,0.9333333333333333,0.9290919019108799,417,32
45,0.31527925687923763,0.9961622807017544,0.4378906607627869,0.9145833333333333,0.9080313480458085,408,41
46,0.34491140539186044,0.9802631578947368,0.43268055518468224,0.9270833333333334,0.9225786937901099,414,35
47,0.32238951325416565,0.993421052631579,0.42390891909599304,0.9291666666666667,0.9255095859069099,415,34
48,0.3370963507576993,0.9857456140350878,0.41993778944015503,0.9208333333333333,0.916325621558132,411,38
49,0.31284134900360777,0.9972587719298246,0.4309711555639903,0.9354166666666667,0.9319322522244756,418,31
