,train_loss,train_acc,val_loss,val_acc,f1_score,correct,incorrect
0,0.7957918068818879,0.6962719298245614,0.5739813963572185,0.8604166666666667,0.8538351743381827,382,67
1,0.6189618189083902,0.8141447368421053,0.6195832928021748,0.7833333333333333,0.7704641415942936,345,104
2,0.5493588003150204,0.8508771929824561,0.5227619051933289,0.8708333333333333,0.8614451639428512,387,62
3,0.512060551789769,0.8760964912280702,0.41801767150561014,0.9333333333333333,0.9301296686095095,417,32
4,0.48399501097829717,0.8914473684210527,0.43975350856781004,0.9166666666666666,0.9114686983430328,409,40
5,0.44345593452453613,0.9183114035087719,0.5557015200455984,0.875,0.8682107505149285,389,60
6,0.4306548065260837,0.9194078947368421,0.4715807497501373,0.9104166666666667,0.9052541300066849,406,43
7,0.4102578795792764,0.9418859649122807,0.47273991505304974,0.9104166666666667,0.9051860463177311,406,43
8,0.39515346497820136,0.9446271929824561,0.3963433146476746,0.95,0.9476130533262715,425,24
9,0.381311214283893,0.9550438596491229,0.6072031358877817,0.8854166666666666,0.8792831900973187,394,55
10,0.40400957224661843,0.9407894736842105,0.4606318851312002,0.9291666666666667,0.9253345280764637,415,34
11,0.3728532529713815,0.9566885964912281,0.41963149309158326,0.9458333333333333,0.9428861859657708,423,26
12,0.3760808685369659,0.9605263157894737,0.6473844031492869,0.85625,0.8500431976769479,380,69
13,0.39212975690239354,0.9484649122807017,0.41146642963091534,0.9458333333333333,0.9431008185399842,423,26
14,0.36419178728471724,0.9682017543859649,0.4655429542064667,0.93125,0.9280136328422933,416,33
15,0.3845038115978241,0.9550438596491229,0.6469416141510009,0.8416666666666667,0.8293915093537164,373,76
16,0.3476192961659348,0.9720394736842105,0.5472031851609548,0.8958333333333334,0.8899199378164013,399,50
17,0.35207060450001765,0.9692982456140351,0.47378737727801007,0.88125,0.9427817721568159,423,26
18,0.36867786813200565,0.9616228070175439,0.5144268095493316,0.9041666666666667,0.8985035783994796,403,46
19,0.369927316904068,0.9671052631578947,0.5260584096113841,0.9104166666666667,0.9050362454160443,406,43
20,0.34679749451185526,0.9731359649122807,0.43548822999000547,0.9458333333333333,0.942861273765633,423,26
21,0.35837386156383316,0.9731359649122807,0.4676952799161275,0.8875,0.9496862507858558,426,23
22,0.33045631124262226,0.9808114035087719,0.4488410294055939,0.9458333333333333,0.9426060226221386,423,26
23,0.3269062418686716,0.9846491228070176,0.4111487607161204,0.9520833333333333,0.9495231271600154,426,23
24,0.3140858516358493,0.9912280701754386,0.5096668601036072,0.91875,0.9145280751619108,410,39
25,0.3368928923941495,0.9808114035087719,0.4902478198210398,0.925,0.9213902771087111,413,36
26,0.3228346386499572,0.987390350877193,0.4806729058424632,0.9354166666666667,0.9319582565808133,418,31
27,0.32142091215702523,0.9846491228070176,0.5335098425547282,0.9145833333333333,0.9099349108472093,408,41
28,0.33548942574283536,0.9830043859649122,0.5799838185310364,0.89375,0.9561669190644455,429,20
29,0.3239175489074306,0.9830043859649122,0.4362397134304047,0.9479166666666666,0.9452574792664109,424,25
30,0.32712723340904504,0.9846491228070176,0.5060187300046285,0.925,0.9209410868859251,413,36
31,0.31486790483458,0.9884868421052632,0.4506059547265371,0.9416666666666667,0.938551269282741,421,28
32,0.31704305818206385,0.9895833333333334,0.42592910130818684,0.9520833333333333,0.9494512385389035,426,23
33,0.3138808942677682,0.9906798245614035,0.4422921637694041,0.9458333333333333,0.9430968760237053,423,26
34,0.3115833396451515,0.9901315789473685,0.4251050074895223,0.9458333333333333,0.942890236398806,423,26
35,0.31366068490764554,0.9906798245614035,0.484652046362559,0.9375,0.9343036922371288,419,30
36,0.31089471672710617,0.9912280701754386,0.46392963925997416,0.9395833333333333,0.9365442610788074,420,29
37,0.30515158908408985,0.993421052631579,0.421742582321167,0.9479166666666666,0.9452677831414381,424,25
38,0.317470242579778,0.9895833333333334,0.465214874347051,0.9395833333333333,0.9365699730614111,420,29
39,0.3158517082532247,0.9890350877192983,0.4522729774316152,0.9416666666666667,0.9383285671945466,421,28
40,0.3090324935160185,0.9901315789473685,0.5887629270553589,0.9,0.8943330560344654,401,48
41,0.3211413899011779,0.9884868421052632,0.48786537249883016,0.9354166666666667,0.9321548588241876,418,31
42,0.30222392395923015,0.9950657894736842,0.5900798916816712,0.8979166666666667,0.892170973095865,400,49
43,0.31669270835424723,0.9890350877192983,0.48937483032544454,0.9354166666666667,0.9319582565808133,418,31
44,0.30264574237037123,0.9961622807017544,0.4182991762955984,0.9583333333333334,0.956162196679438,429,20
45,0.3260402506903598,0.9857456140350878,0.431653106212616,0.9479166666666666,0.9452858782127075,424,25
46,0.3095825748485431,0.9928728070175439,0.434797340631485,0.95,0.947467661755171,425,24
47,0.30021970261607256,0.9961622807017544,0.42287547985712687,0.95625,0.9538745702857013,428,21
48,0.30187481694054186,0.9956140350877193,0.4292452057202657,0.95,0.9471283581672426,425,24
49,0.3074167057087547,0.993421052631579,0.5349583566188812,0.91875,0.9147159789754649,410,39
